date,4b. close (USD)
2020-07-18,9170.28
2020-07-17,9154.32
2020-07-16,9133.72
2020-07-15,9197.6
2020-07-14,9255.85
2020-07-13,9242.62
2020-07-12,9302.75
2020-07-11,9234.03
2020-07-10,9288.34
2020-07-09,9232.43
2020-07-08,9436.06
2020-07-07,9257.39
2020-07-06,9344.2
2020-07-05,9069.41
2020-07-04,9135.46
2020-07-03,9058.26
2020-07-02,9086.54
2020-07-01,9232.0
2020-06-30,9138.55
2020-06-29,9192.56
2020-06-28,9116.35
2020-06-27,9012.0
2020-06-26,9162.21
2020-06-25,9249.49
2020-06-24,9296.49
2020-06-23,9624.89
2020-06-22,9685.69
2020-06-21,9294.69
2020-06-20,9358.95
2020-06-19,9310.23
2020-06-18,9386.32
2020-06-17,9465.14
2020-06-16,9525.59
2020-06-15,9426.02
2020-06-14,9342.1
2020-06-13,9473.34
2020-06-12,9465.13
2020-06-11,9280.4
2020-06-10,9885.0
2020-06-09,9772.43
2020-06-08,9782.01
2020-06-07,9746.99
2020-06-06,9666.3
2020-06-05,9621.16
2020-06-04,9789.06
2020-06-03,9666.24
2020-06-02,9518.04
2020-06-01,10200.77
2020-05-31,9448.27
2020-05-30,9697.72
2020-05-29,9427.07
2020-05-28,9575.89
2020-05-27,9204.07
2020-05-26,8841.18
2020-05-25,8900.35
2020-05-24,8720.34
2020-05-23,9179.15
2020-05-22,9170.0
2020-05-21,9068.65
2020-05-20,9511.43
2020-05-19,9775.53
2020-05-18,9733.93
2020-05-17,9680.04
2020-05-16,9381.27
2020-05-15,9316.42
2020-05-14,9791.98
2020-05-13,9309.37
2020-05-12,8810.79
2020-05-11,8561.52
2020-05-10,8722.77
2020-05-09,9539.4
2020-05-08,9800.01
2020-05-07,9986.4
2020-05-06,9142.92
2020-05-05,9021.83
2020-05-04,8871.96
2020-05-03,8894.16
2020-05-02,8972.05
2020-05-01,8826.96
2020-04-30,8620.0
2020-04-29,8778.57
2020-04-28,7738.98
2020-04-27,7774.62
2020-04-26,7693.1
2020-04-25,7538.67
2020-04-24,7505.0
2020-04-23,7482.39
2020-04-22,7125.14
2020-04-21,6841.37
2020-04-20,6826.83
2020-04-19,7120.74
2020-04-18,7248.6
2020-04-17,7027.55
2020-04-16,7101.94
2020-04-15,6621.24
2020-04-14,6868.7
2020-04-13,6837.91
2020-04-12,6903.79
2020-04-11,6876.83
2020-04-10,6858.92
2020-04-09,7283.54
2020-04-08,7361.28
2020-04-07,7197.32
2020-04-06,7329.9
2020-04-05,6772.78
2020-04-04,6856.99
2020-04-03,6734.1
2020-04-02,6794.09
2020-04-01,6642.92
2020-03-31,6410.44
2020-03-30,6394.38
2020-03-29,5881.42
2020-03-28,6236.65
2020-03-27,6359.11
2020-03-26,6737.36
2020-03-25,6677.43
2020-03-24,6744.72
2020-03-23,6467.31
2020-03-22,5816.19
2020-03-21,6186.98
2020-03-20,6208.36
2020-03-19,6162.37
2020-03-18,5393.04
2020-03-17,5312.64
2020-03-16,5028.97
2020-03-15,5361.3
2020-03-14,5172.06
2020-03-13,5578.6
2020-03-12,4800.0
2020-03-11,7934.52
2020-03-10,7894.56
2020-03-09,7929.87
2020-03-08,8033.31
2020-03-07,8886.66
2020-03-06,9131.88
2020-03-05,9054.68
2020-03-04,8750.87
2020-03-03,8760.07
2020-03-02,8915.24
2020-03-01,8531.88
2020-02-29,8523.61
2020-02-28,8692.91
2020-02-27,8823.21
2020-02-26,8785.25
2020-02-25,9315.84
2020-02-24,9656.13
2020-02-23,9936.4
2020-02-22,9650.86
2020-02-21,9677.05
2020-02-20,9596.42
2020-02-19,9593.79
2020-02-18,10164.71
2020-02-17,9706.0
2020-02-16,9917.27
2020-02-15,9904.72
2020-02-14,10344.36
2020-02-13,10229.63
2020-02-12,10326.46
2020-02-11,10223.08
2020-02-10,9851.83
2020-02-09,10151.75
2020-02-08,9895.05
2020-02-07,9813.73
2020-02-06,9772.0
2020-02-05,9612.04
2020-02-04,9197.02
2020-02-03,9292.24
2020-02-02,9331.51
2020-02-01,9384.61
2020-01-31,9352.89
2020-01-30,9513.21
2020-01-29,9301.53
2020-01-28,9374.21
2020-01-27,8907.57
2020-01-26,8615.0
2020-01-25,8340.58
2020-01-24,8439.0
2020-01-23,8404.52
2020-01-22,8682.36
2020-01-21,8736.03
2020-01-20,8642.35
2020-01-19,8701.7
2020-01-18,8915.96
2020-01-17,8913.28
2020-01-16,8720.01
2020-01-15,8821.41
2020-01-14,8810.01
2020-01-13,8110.34
2020-01-12,8184.98
2020-01-11,8020.01
2020-01-10,8197.02
2020-01-09,7817.76
2020-01-08,8055.98
2020-01-07,8145.28
2020-01-06,7758.0
2020-01-05,7358.75
2020-01-04,7354.11
2020-01-03,7344.96
2020-01-02,6965.71
2020-01-01,7200.85
2019-12-31,7195.23
2019-12-30,7246.0
2019-12-29,7388.24
2019-12-28,7316.14
2019-12-27,7254.74
2019-12-26,7202.0
2019-12-25,7204.63
2019-12-24,7255.77
2019-12-23,7317.09
2019-12-22,7501.44
2019-12-21,7132.75
2019-12-20,7187.83
2019-12-19,7150.3
2019-12-18,7277.83
2019-12-17,6623.82
2019-12-16,6891.72
2019-12-15,7118.59
2019-12-14,7064.05
2019-12-13,7258.48
2019-12-12,7198.08
2019-12-11,7210.0
2019-12-10,7224.13
2019-12-09,7338.64
2019-12-08,7510.11
2019-12-07,7488.21
2019-12-06,7527.47
2019-12-05,7389.0
2019-12-04,7194.32
2019-12-03,7292.71
2019-12-02,7294.28
2019-12-01,7390.89
2019-11-30,7541.89
2019-11-29,7739.68
2019-11-28,7419.49
2019-11-27,7508.52
2019-11-26,7156.14
2019-11-25,7109.57
2019-11-24,6903.28
2019-11-23,7311.57
2019-11-22,7268.23
2019-11-21,7627.74
2019-11-20,8098.01
2019-11-19,8133.64
2019-11-18,8187.17
2019-11-17,8502.4
2019-11-16,8491.02
2019-11-15,8471.73
2019-11-14,8646.68
2019-11-13,8777.12
2019-11-12,8821.94
2019-11-11,8733.27
2019-11-10,9039.47
2019-11-09,8809.41
2019-11-08,8773.73
2019-11-07,9216.2
2019-11-06,9339.05
2019-11-05,9308.66
2019-11-04,9393.35
2019-11-03,9194.71
2019-11-02,9289.52
2019-11-01,9231.61
2019-10-31,9140.85
2019-10-30,9154.72
2019-10-29,9407.62
2019-10-28,9205.14
2019-10-27,9529.93
2019-10-26,9230.0
2019-10-25,8655.02
2019-10-24,7412.41
2019-10-23,7466.62
2019-10-22,8020.0
2019-10-21,8197.27
2019-10-20,8223.35
2019-10-19,7948.01
2019-10-18,7947.01
2019-10-17,8070.58
2019-10-16,7991.74
2019-10-15,8159.29
2019-10-14,8348.2
2019-10-13,8275.01
2019-10-12,8300.09
2019-10-11,8258.5
2019-10-10,8558.03
2019-10-09,8560.74
2019-10-08,8168.39
2019-10-07,8190.09
2019-10-06,7854.25
2019-10-05,8126.19
2019-10-04,8137.13
2019-10-03,8223.96
2019-10-02,8359.94
2019-10-01,8292.44
2019-09-30,8289.34
2019-09-29,8043.82
2019-09-28,8198.81
2019-09-27,8177.91
2019-09-26,8063.73
2019-09-25,8430.05
2019-09-24,8493.14
2019-09-23,9702.25
2019-09-22,10028.87
2019-09-21,9986.39
2019-09-20,10168.59
2019-09-19,10244.29
2019-09-18,10156.99
2019-09-17,10187.82
2019-09-16,10251.31
2019-09-15,10302.01
2019-09-14,10335.02
2019-09-13,10342.06
2019-09-12,10415.01
2019-09-11,10158.33
2019-09-10,10098.15
2019-09-09,10303.12
2019-09-08,10381.18
2019-09-07,10455.88
2019-09-06,10298.73
2019-09-05,10564.49
2019-09-04,10567.02
2019-09-03,10615.28
2019-09-02,10340.0
2019-09-01,9724.98
2019-08-31,9587.47
2019-08-30,9584.54
2019-08-29,9498.44
2019-08-28,9721.0
2019-08-27,10185.05
2019-08-26,10372.25
2019-08-25,10142.69
2019-08-24,10134.35
2019-08-23,10389.55
2019-08-22,10099.88
2019-08-21,10142.57
2019-08-20,10760.51
2019-08-19,10915.54
2019-08-18,10306.78
2019-08-17,10216.02
2019-08-16,10331.54
2019-08-15,10293.93
2019-08-14,10050.37
2019-08-13,10892.71
2019-08-12,11396.08
2019-08-11,11549.97
2019-08-10,11309.31
2019-08-09,11879.99
2019-08-08,11999.77
2019-08-07,11975.03
2019-08-06,11481.69
2019-08-05,11828.8
2019-08-04,10929.23
2019-08-03,10816.86
2019-08-02,10523.75
2019-08-01,10374.99
2019-07-31,10080.53
2019-07-30,9574.21
2019-07-29,9507.64
2019-07-28,9541.54
2019-07-27,9476.52
2019-07-26,9824.0
2019-07-25,9879.87
2019-07-24,9763.28
2019-07-23,9864.91
2019-07-22,10340.31
2019-07-21,10589.45
2019-07-20,10740.23
2019-07-19,10504.29
2019-07-18,10627.16
2019-07-17,9667.92
2019-07-16,9439.59
2019-07-15,10838.72
2019-07-14,10174.18
2019-07-13,11355.76
2019-07-12,11757.22
2019-07-11,11342.89
